,antecedents,consequents,support,antecedent support,consequent support,confidence,lift,leverage,conviction,certainty,adjusted_support,adjusted_antecedent_support,adjusted_consequent_support,adjusted_confidence,adjusted_lift,adjusted_leverage,adjusted_conviction,adjusted_certainty
49,"frozenset({'penyetan', 'pisang coklat keju'})",frozenset({'teh'}),0.0044304535385332865,0.008860907077066573,0.0026767646306027153,0.5,1.6551524507912003,0.004406734975874338,1.9946464707387945,0.49732323536939727,0.0075113658825854916,0.015022731765170983,0.2686301640640443,0.5,1.8612950699043413,0.003475806983817481,1.4627396718719115,0.23136983593595573
50,"frozenset({'penyetan', 'sosis goreng'})",frozenset({'teh'}),0.005013407951498193,0.008044770898915705,0.0024302205198893072,0.6231884057971014,2.0629436343194674,0.00499385738418184,2.6473967224664476,0.6207581852772122,0.005022777712884009,0.008059806097418526,0.3020675154771639,0.6231884057971014,2.063076543708038,0.0025881721098090986,1.8522054396952188,0.32112089031993757
51,"frozenset({'penyetan', 'tahu krispy'})",frozenset({'teh'}),0.006995452955578874,0.011775679141891102,0.0035572793117220293,0.5940594059405941,1.966517763316278,0.006953563575785948,2.4546515802321,0.5905021266288721,0.007006890108606796,0.011794931682821442,0.30211374518276307,0.594059405940594,1.9663435226398556,0.0034434791237347804,1.7191832130863638,0.29194566075783096
52,"frozenset({'sayur harian', 'pisang coklat keju'})",frozenset({'teh'}),0.0011659088259298124,0.002098635886673662,0.0006339705704059063,0.5555555555555556,1.8390582786568894,0.0011645783525396636,2.248573566216587,0.5549215849851497,0.0019766752322593396,0.0035580154180668115,0.2686301640640443,0.5555555555555556,2.068105633227046,0.001020884966761653,1.6455821308559004,0.2869253914915113
53,"frozenset({'tahu krispy', 'pisang coklat keju'})",frozenset({'teh'}),0.0013990905911157748,0.002098635886673662,0.0006339705704059064,0.6666666666666666,2.206869934388267,0.001397760117725626,2.9980980882887818,0.6660326960962607,0.0023720102787112077,0.0035580154180668115,0.2686301640640443,0.6666666666666666,2.4817267598724553,0.0014162200132135211,2.194109507807867,0.39803650260262236
54,"frozenset({'sayur harian', 'tahu krispy'})",frozenset({'teh'}),0.002098635886673662,0.0037309082429753996,0.0011270587918327222,0.5625,1.8620465071401004,0.0020944309337368955,2.283138151332954,0.5613729412081673,0.002101085560873118,0.0037352632193299873,0.30197268588770865,0.5625,1.862751256281407,0.0009731380940344722,1.5954910036852374,0.26052731411229135
55,"frozenset({'air putih', 'es jeruk', 'gorengan'})",frozenset({'penyetan'}),0.0013990905911157748,0.0015156814737087559,0.00030394918208919905,0.9230769230769231,4.60304114490161,0.0013986299009715332,12.99604866063285,0.9227729738948339,0.0014043300175541251,0.001521357519016969,0.20035108250438854,0.9230769230769231,4.607296908698777,0.0010995243917428844,10.395435927442955,0.7227258405725345
56,"frozenset({'air putih', 'es jeruk', 'penyetan'})",frozenset({'gorengan'}),0.0013990905911157748,0.002331817651859625,0.0005915862434938258,0.6,2.3649816176470586,0.0013977111198705985,2.498521034391265,0.5994084137565061,0.0014043300175541251,0.0023405500292568754,0.25406670567583384,0.6,2.3615845232611696,0.0008096741821513542,1.8648332358104152,0.34593329432416614
57,"frozenset({'air putih', 'es jeruk', 'teh'})",frozenset({'penyetan'}),0.001049317943336831,0.0013990905911157748,0.0002805684757746453,0.75,3.739970930232558,0.001048925402622211,3.9988777260969015,0.7497194315242254,0.001053247513165594,0.0014043300175541251,0.20035108250438854,0.75,3.743428738317757,0.000771888473955218,3.1985956699824456,0.5496489174956114
58,"frozenset({'air putih', 'mie', 'gorengan'})",frozenset({'teh'}),0.001982045004080681,0.0030313629474175117,0.0009157352683640869,0.653846153846154,2.164430127957724,0.0019792690781185187,2.886243431446949,0.6529304185777899,0.0019903992506732234,0.0030441400304414,0.30183819224915115,0.6538461538461539,2.166214119472459,0.0010715615269315153,2.016911889058008,0.3520079615970027
59,"frozenset({'air putih', 'penyetan', 'sayur harian'})",frozenset({'gorengan'}),0.001049317943336831,0.001982045004080681,0.0005028483069697519,0.5294117647058824,2.0867484861591694,0.0010483212753621912,2.1239314473476893,0.5289089163989126,0.001053247513165594,0.001989467524868344,0.25406670567583384,0.5294117647058824,2.0837510499363265,0.0005477900530732388,1.585108250438853,0.2753450590300485
60,"frozenset({'air putih', 'teh', 'sayur harian'})",frozenset({'gorengan'}),0.0011659088259298124,0.0022152267692666433,0.0005620069313191344,0.5263157894736843,2.074545278637771,0.0011646638531310409,2.1099246520338824,0.5257537825423652,0.0011702750146284377,0.0022235225277940315,0.25406670567583384,0.5263157894736842,2.0715653712817277,0.0006053519709958054,1.5747480657954618,0.27224908379785034
61,"frozenset({'air putih', 'sayur harian', 'gorengan'})",frozenset({'teh'}),0.0011659088259298124,0.002331817651859625,0.0007044117448954516,0.5,1.6551524507912003,0.001164266266188888,1.9985911765102091,0.49929558825510456,0.0011702750146284377,0.0023405500292568754,0.3019309537741369,0.5,1.6560077519379846,0.00046359051193882526,1.3961380924517262,0.19806904622586308
62,"frozenset({'air putih', 'penyetan', 'mie'})",frozenset({'teh'}),0.0017488632388947185,0.002448408534452606,0.000739632332140224,0.7142857142857143,2.364503501130286,0.0017470523167803494,3.4974112868375093,0.713546081953574,0.0017562346329469617,0.0024587284861257463,0.30183819224915115,0.7142857142857143,2.3664523994236952,0.0010140964714632744,2.4435663271279715,0.41244752203656315
63,"frozenset({'air putih', 'teh', 'sayur harian'})",frozenset({'penyetan'}),0.0011659088259298124,0.0022152267692666433,0.0004442334199765217,0.5263157894736843,2.624541003671971,0.0011649247481660776,2.110173285002272,0.5258715560537077,0.0011702750146284377,0.0022235225277940315,0.20035108250438854,0.5263157894736842,2.6269675356615836,0.0007247898692120091,1.6881477147129573,0.32596470696929564
64,"frozenset({'air putih', 'penyetan', 'sayur harian'})",frozenset({'teh'}),0.0011659088259298124,0.001982045004080681,0.0005987499831611338,0.5882352941176471,1.9472381774014123,0.0011647220765169945,2.427117321469466,0.587636544134486,0.0011702750146284377,0.001989467524868344,0.3019309537741369,0.5882352941176471,1.9482444140446877,0.0005695931873422671,1.695310540834239,0.28630434034351016
